Cycle: 3  6D1  7.4 然_X	Cycle: 3  6D1  7.4 然_Y	Cycle: 4  6D1  14.75 然_X	Cycle: 4  6D1  14.75 然_Y	Cycle: 5  6D1  29.5 然_X	Cycle: 5  6D1  29.5 然_Y	Cycle: 6  6D1  59 然_X	Cycle: 6  6D1  59 然_Y	Cycle: 7  6D1  118 然_X	Cycle: 7  6D1  118 然_Y
-57.26	-1.35352	-57.26	-1.35449	-57.26	-1.23047	-57.26	-1.07617	-57.36	-1.20605
-57.16	-1.38867	-57.16	-1.18652	-57.16	-1.18359	-57.16	-1.07617	-57.26	-1.17871
-57.06	-1.41797	-57.06	-1.19531	-57.06	-1.19726	-57.06	-1.10937	-57.16	-1.15918
-56.96	-1.39941	-56.96	-1.08789	-56.96	-1.16504	-56.96	-1.11133	-57.06	-1.15332
-56.86	-1.32422	-56.86	-0.999023	-56.86	-1.14453	-56.86	-1.11426	-56.96	-1.10254
-56.76	-1.30859	-56.76	-1.00488	-56.76	-1.14258	-56.76	-1.13379	-56.86	-1.05762
-56.66	-1.32617	-56.66	-1.04199	-56.66	-1.16797	-56.66	-1.15918	-56.76	-1.07129
-56.56	-1.30859	-56.56	-1.03418	-56.56	-1.14844	-56.56	-1.12891	-56.66	-1.09473
-56.46	-1.29492	-56.46	-1.01074	-56.46	-1.14844	-56.46	-1.12305	-56.56	-1.08691
-56.36	-1.27637	-56.36	-0.998047	-56.36	-1.1416	-56.36	-1.1123	-56.46	-1.07129
-56.26	-1.27539	-56.26	-0.985351	-56.26	-1.14258	-56.26	-1.11328	-56.36	-1.08789
-56.16	-1.2832	-56.16	-0.989258	-56.16	-1.16211	-56.16	-1.125	-56.26	-1.0791
-56.06	-1.29492	-56.06	-0.995116	-56.06	-1.16504	-56.06	-1.14453	-56.16	-1.08105
-55.96	-1.2832	-55.96	-0.999023	-55.96	-1.15039	-55.96	-1.125	-56.06	-1.0752
-55.86	-1.28711	-55.86	-0.99707	-55.86	-1.16016	-55.86	-1.13477	-55.96	-1.0791
-55.76	-1.27148	-55.76	-0.985352	-55.76	-1.14453	-55.76	-1.11914	-55.86	-1.08105
-55.66	-1.26563	-55.66	-0.961914	-55.66	-1.13086	-55.66	-1.10547	-55.76	-1.06738
-55.56	-1.25391	-55.56	-0.956055	-55.56	-1.12695	-55.56	-1.09375	-55.66	-1.05176
-55.46	-1.24414	-55.46	-0.939453	-55.46	-1.11719	-55.46	-1.08203	-55.56	-1.03809
-55.36	-1.23242	-55.36	-0.932617	-55.36	-1.10938	-55.36	-1.08203	-55.46	-1.03418
-55.26	-1.23633	-55.26	-0.932617	-55.26	-1.11328	-55.26	-1.07422	-55.36	-1.03418
